sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
1888279,117,,0,0,0,0,0,0,15,15,1,No,0,-99.0,-99.0,0,No,No,Yes,Yes,No
1870557,7,2.0,0,0,0,0,0,0,0,0,0,No,0,0.5,0.28,0,Yes,No,No,Yes,No
1475481,258,15.0,10,10,77,184,46,132,256,365,47,No,0,0.54,0.7,0,No,No,No,Yes,No
1758220,46,2.0,0,0,0,0,1,2,6,9,1,No,0,0.75,0.9,0,Yes,No,No,Yes,No
1360312,2,2.0,0,4,6,10,2,2,5,6,0,No,0,0.97,0.92,0,No,No,No,Yes,No
3002608,297,12.0,0,0,0,0,5,6,44,57,3,No,0,0.58,0.75,0,Yes,No,No,Yes,No
1707693,3285,8.0,0,0,0,0,18,81,162,304,37,No,0,0.61,0.57,0,No,No,No,Yes,No
2066128,6,2.0,0,0,3,9,1,5,8,13,0,No,0,0.86,0.77,0,No,No,No,Yes,No
3174990,99,8.0,0,46,169,225,2,22,176,263,21,No,0,0.11,0.37,0,No,No,No,Yes,No
3021709,52,2.0,0,0,0,0,0,0,0,0,0,No,0,0.83,0.69,0,No,No,No,Yes,No
3104894,51,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No
1960152,0,12.0,0,8,11,17,0,3,10,13,1,No,0,0.78,0.78,0,No,No,No,Yes,No
3011283,1782,8.0,562,4687,8047,12079,2019,5486,10109,14569,316,No,0,0.85,0.85,0,No,No,Yes,Yes,No
2231740,2,8.0,0,0,0,0,0,0,0,0,1,No,0,0.79,0.79,0,No,No,No,Yes,No
1559858,5,8.0,0,0,0,0,0,0,0,1,1,No,0,0.1,0.13,0,No,No,No,Yes,No
1453996,17,8.0,0,6,24,36,6,11,26,42,0,No,0,1.0,0.96,0,No,No,No,Yes,No
1792717,17,15.0,11,498,666,882,66,226,481,792,58,No,0,0.05,0.08,32,No,No,No,Yes,No
1255045,5,2.0,0,10,30,60,8,31,75,110,0,No,0,1.0,0.99,0,No,No,No,Yes,No
1180609,-1,9.0,0,9,11,13,1,9,11,12,0,No,0,0.85,0.83,1,Yes,No,No,No,No
1862464,12,9.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.96,0,No,No,No,Yes,No
3214039,5691,8.0,812,1883,6332,11297,181,5878,13709,15561,694,No,0,1.0,0.99,0,No,No,No,Yes,No
1513222,4,4.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,Yes,No,No,Yes,No
1779453,2,2.0,0,3,6,12,3,5,16,18,0,No,0,0.98,0.97,0,No,No,No,Yes,No
3172237,2,10.0,0,0,0,0,0,0,0,0,0,No,0,0.89,0.9,0,No,No,Yes,Yes,No
1460192,0,2.0,0,10,12,12,0,0,0,0,0,No,0,0.23,0.26,0,Yes,No,Yes,Yes,No
1298280,54,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No
2931231,12,8.0,0,8,16,24,2,10,23,34,1,No,0,0.96,0.91,0,No,No,No,Yes,No
2258214,0,8.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.91,0,No,No,No,Yes,No
2289159,4,9.0,0,0,0,2,2,3,4,5,0,No,0,0.7,0.66,0,No,No,Yes,Yes,No
1493695,27,8.0,1,56,88,128,17,41,84,125,16,No,7,0.79,0.66,0,No,No,No,Yes,No
3065513,460,16.0,0,2842,3342,4746,1101,2100,4102,5676,0,No,0,0.96,0.96,0,No,No,No,Yes,No
1755011,114,8.0,0,0,0,0,0,8,10,12,1,No,0,-99.0,-99.0,0,Yes,No,Yes,Yes,No
3178260,748,8.0,0,700,700,700,0,0,0,0,0,No,0,0.98,0.95,0,No,No,No,Yes,No
2058953,0,2.0,0,1,1,1,1,2,2,2,0,No,0,0.8,0.82,0,Yes,No,No,Yes,No
2864399,2492,2.0,40,0,0,0,48,132,269,459,37,No,0,-99.0,0.99,0,No,No,Yes,No,No
1346632,4,2.0,0,0,0,0,0,0,0,0,0,No,0,0.96,0.94,0,No,No,No,Yes,No
1236911,219,8.0,0,1341,2181,2811,346,794,1450,2304,328,No,70,0.06,0.13,0,No,No,No,Yes,No
1853239,15,2.0,0,0,0,0,0,3,8,9,1,No,0,0.9,0.94,0,Yes,No,No,Yes,No
1883347,0,12.0,0,2,2,2,0,0,0,0,0,No,0,0.63,0.72,0,Yes,No,No,Yes,No
2876754,13,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No
2036426,127,,0,0,0,0,0,0,0,1,2,No,0,-99.0,-99.0,0,No,No,Yes,Yes,No
1820913,7,8.0,0,0,0,0,0,1,1,2,0,No,0,0.0,0.0,0,No,No,Yes,Yes,No
1449419,0,9.0,3,2,4,5,2,4,4,5,0,No,0,0.91,0.77,0,No,No,No,Yes,No
1312888,83,8.0,9,287,525,756,84,267,501,753,65,No,18,0.79,0.66,0,No,No,No,Yes,No
1986710,6,8.0,0,0,0,0,2,4,5,8,0,No,0,0.96,0.92,0,No,No,No,Yes,No
1602953,73,2.0,24,92,236,344,21,101,217,346,25,No,0,0.95,0.95,0,No,No,No,Yes,No
3156440,51,8.0,0,0,0,0,0,0,1,2,1,No,0,0.0,0.0,0,No,No,No,Yes,No
1770053,2,8.0,0,0,0,0,0,0,0,0,1,No,0,0.96,0.97,0,Yes,No,Yes,Yes,No
1759984,1,52.0,0,263,1363,1363,16,58,107,161,45,No,0,0.07,0.2,0,No,No,No,No,No
1296493,12,9.0,0,0,0,0,0,0,0,0,0,No,0,0.85,0.83,0,No,No,No,Yes,No
2151728,18,8.0,0,0,0,0,0,0,0,0,0,No,0,0.7,0.74,0,No,No,No,Yes,No
3179683,12,2.0,0,0,0,0,0,0,0,0,0,No,0,0.78,0.75,0,No,No,Yes,Yes,No
